l,l,l,l,l,l
l,l,l,l,Arsenal,Crystal Palace
l,l,l,l,Burnley,Chelsea
l,l,l,l,Leicester,Everton
l,l,l,l,Liverpool,Southampton
l,l,l,l,Man Utd,Swansea
l,l,l,l,Newcastle,Man City
l,l,l,l,QPR,Hull
l,l,l,l,Stoke,Aston Villa
l,l,l,l,West Brom,Sunderland
l,l,l,l,West Ham,Spurs
l,l,l,l,Aston Villa,Newcastle
l,l,l,l,Chelsea,Leicester
l,l,l,l,Crystal Palace,West Ham
l,l,l,l,Everton,Arsenal
l,l,l,l,Hull,Stoke
l,l,l,l,Man City,Liverpool
l,l,l,l,Southampton,West Brom
l,l,l,l,Spurs,QPR
l,l,l,l,Sunderland,Man Utd
l,l,l,l,Swansea,Burnley
l,l,l,l,Aston Villa,Hull
l,l,l,l,Burnley,Man Utd
l,l,l,l,Everton,Chelsea
l,l,l,l,Leicester,Arsenal
l,l,l,l,Man City,Stoke
l,l,l,l,Newcastle,Crystal Palace
l,l,l,l,QPR,Sunderland
l,l,l,l,Spurs,Liverpool
l,l,l,l,Swansea,West Brom
l,l,l,l,West Ham,Southampton
l,l,l,l,Arsenal,Man City
l,l,l,l,Chelsea,Swansea
l,l,l,l,Crystal Palace,Burnley
l,l,l,l,Hull,West Ham
l,l,l,l,Liverpool,Aston Villa
l,l,l,l,Man Utd,QPR
l,l,l,l,Southampton,Newcastle
l,l,l,l,Stoke,Leicester
l,l,l,l,Sunderland,Spurs
l,l,l,l,West Brom,Everton
l,l,l,l,Aston Villa,Arsenal
l,l,l,l,Burnley,Sunderland
l,l,l,l,Everton,Crystal Palace
l,l,l,l,Leicester,Man Utd
l,l,l,l,Man City,Chelsea
l,l,l,l,Newcastle,Hull
l,l,l,l,QPR,Stoke
l,l,l,l,Spurs,West Brom
l,l,l,l,Swansea,Southampton
l,l,l,l,West Ham,Liverpool
l,l,l,l,Arsenal,Spurs
l,l,l,l,Chelsea,Aston Villa
l,l,l,l,Crystal Palace,Leicester
l,l,l,l,Hull,Man City
l,l,l,l,Liverpool,Everton
l,l,l,l,Man Utd,West Ham
l,l,l,l,Southampton,QPR
l,l,l,l,Stoke,Newcastle
l,l,l,l,Sunderland,Swansea
l,l,l,l,West Brom,Burnley
l,l,l,l,Aston Villa,Man City
l,l,l,l,Chelsea,Arsenal
l,l,l,l,Hull,Crystal Palace
l,l,l,l,Leicester,Burnley
l,l,l,l,Liverpool,West Brom
l,l,l,l,Man Utd,Everton
l,l,l,l,Spurs,Southampton
l,l,l,l,Sunderland,Stoke
l,l,l,l,Swansea,Newcastle
l,l,l,l,West Ham,QPR
l,l,l,l,Arsenal,Hull
l,l,l,l,Burnley,West Ham
l,l,l,l,Crystal Palace,Chelsea
l,l,l,l,Everton,Aston Villa
l,l,l,l,Man City,Spurs
l,l,l,l,Newcastle,Leicester
l,l,l,l,QPR,Liverpool
l,l,l,l,Southampton,Sunderland
l,l,l,l,Stoke,Swansea
l,l,l,l,West Brom,Man Utd
l,l,l,l,Burnley,Everton
l,l,l,l,Liverpool,Hull
l,l,l,l,Man Utd,Chelsea
l,l,l,l,QPR,Aston Villa
l,l,l,l,Southampton,Stoke
l,l,l,l,Spurs,Newcastle
l,l,l,l,Sunderland,Arsenal
l,l,l,l,Swansea,Leicester
l,l,l,l,West Brom,Crystal Palace
l,l,l,l,West Ham,Man City
l,l,l,l,Arsenal,Burnley
l,l,l,l,Aston Villa,Spurs
l,l,l,l,Chelsea,QPR
l,l,l,l,Crystal Palace,Sunderland
l,l,l,l,Everton,Swansea
l,l,l,l,Hull,Southampton
l,l,l,l,Leicester,West Brom
l,l,l,l,Man City,Man Utd
l,l,l,l,Newcastle,Liverpool
l,l,l,l,Stoke,West Ham
l,l,l,l,Burnley,Hull
l,l,l,l,Liverpool,Chelsea
l,l,l,l,Man Utd,Crystal Palace
l,l,l,l,QPR,Man City
l,l,l,l,Southampton,Leicester
l,l,l,l,Spurs,Stoke
l,l,l,l,Sunderland,Everton
l,l,l,l,Swansea,Arsenal
l,l,l,l,West Brom,Newcastle
l,l,l,l,West Ham,Aston Villa
l,l,l,l,Arsenal,Man Utd
l,l,l,l,Aston Villa,Southampton
l,l,l,l,Chelsea,West Brom
l,l,l,l,Crystal Palace,Liverpool
l,l,l,l,Everton,West Ham
l,l,l,l,Hull,Spurs
l,l,l,l,Leicester,Sunderland
l,l,l,l,Man City,Swansea
l,l,l,l,Newcastle,QPR
l,l,l,l,Stoke,Burnley
l,l,l,l,Burnley,Aston Villa
l,l,l,l,Liverpool,Stoke
l,l,l,l,Man Utd,Hull
l,l,l,l,QPR,Leicester
l,l,l,l,Southampton,Man City
l,l,l,l,Spurs,Everton
l,l,l,l,Sunderland,Chelsea
l,l,l,l,Swansea,Crystal Palace
l,l,l,l,West Brom,Arsenal
l,l,l,l,West Ham,Newcastle
l,l,l,l,Arsenal,Southampton
l,l,l,l,Burnley,Newcastle
l,l,l,l,Crystal Palace,Aston Villa
l,l,l,l,Leicester,Liverpool
l,l,l,l,Man Utd,Stoke
l,l,l,l,Swansea,QPR
l,l,l,l,West Brom,West Ham
l,l,l,l,Chelsea,Spurs
l,l,l,l,Everton,Hull
l,l,l,l,Sunderland,Man City
l,l,l,l,Aston Villa,Leicester
l,l,l,l,Hull,West Brom
l,l,l,l,Liverpool,Sunderland
l,l,l,l,Man City,Everton
l,l,l,l,Newcastle,Chelsea
l,l,l,l,QPR,Burnley
l,l,l,l,Southampton,Man Utd
l,l,l,l,Spurs,Crystal Palace
l,l,l,l,Stoke,Arsenal
l,l,l,l,West Ham,Swansea
l,l,l,l,Arsenal,Newcastle
l,l,l,l,Burnley,Southampton
l,l,l,l,Chelsea,Hull
l,l,l,l,Crystal Palace,Stoke
l,l,l,l,Everton,QPR
l,l,l,l,Leicester,Man City
l,l,l,l,Man Utd,Liverpool
l,l,l,l,Sunderland,West Ham
l,l,l,l,Swansea,Spurs
l,l,l,l,West Brom,Aston Villa
l,l,l,l,Aston Villa,Man Utd
l,l,l,l,Hull,Swansea
l,l,l,l,Liverpool,Arsenal
l,l,l,l,Man City,Crystal Palace
l,l,l,l,Newcastle,Sunderland
l,l,l,l,QPR,West Brom
l,l,l,l,Southampton,Everton
l,l,l,l,Spurs,Burnley
l,l,l,l,Stoke,Chelsea
l,l,l,l,West Ham,Leicester
l,l,l,l,Arsenal,QPR
l,l,l,l,Burnley,Liverpool
l,l,l,l,Chelsea,West Ham
l,l,l,l,Crystal Palace,Southampton
l,l,l,l,Everton,Stoke
l,l,l,l,Leicester,Spurs
l,l,l,l,Man Utd,Newcastle
l,l,l,l,Sunderland,Hull
l,l,l,l,Swansea,Aston Villa
l,l,l,l,West Brom,Man City
l,l,l,l,Aston Villa,Sunderland
l,l,l,l,Hull,Leicester
l,l,l,l,Liverpool,Swansea
l,l,l,l,Man City,Burnley
l,l,l,l,Newcastle,Everton
l,l,l,l,QPR,Crystal Palace
l,l,l,l,Southampton,Chelsea
l,l,l,l,Spurs,Man Utd
l,l,l,l,Stoke,West Brom
l,l,l,l,West Ham,Arsenal
l,l,l,l,Aston Villa,Crystal Palace
l,l,l,l,Hull,Everton
l,l,l,l,Liverpool,Leicester
l,l,l,l,Man City,Sunderland
l,l,l,l,Newcastle,Burnley
l,l,l,l,QPR,Swansea
l,l,l,l,Southampton,Arsenal
l,l,l,l,Spurs,Chelsea
l,l,l,l,Stoke,Man Utd
l,l,l,l,West Ham,West Brom
l,l,l,l,Arsenal,Stoke
l,l,l,l,Burnley,QPR
l,l,l,l,Chelsea,Newcastle
l,l,l,l,Crystal Palace,Spurs
l,l,l,l,Everton,Man City
l,l,l,l,Leicester,Aston Villa
l,l,l,l,Man Utd,Southampton
l,l,l,l,Sunderland,Liverpool
l,l,l,l,Swansea,West Ham
l,l,l,l,West Brom,Hull
l,l,l,l,Aston Villa,Liverpool
l,l,l,l,Burnley,Crystal Palace
l,l,l,l,Everton,West Brom
l,l,l,l,Leicester,Stoke
l,l,l,l,Man City,Arsenal
l,l,l,l,Newcastle,Southampton
l,l,l,l,QPR,Man Utd
l,l,l,l,Spurs,Sunderland
l,l,l,l,Swansea,Chelsea
l,l,l,l,West Ham,Hull
l,l,l,l,Arsenal,Aston Villa
l,l,l,l,Chelsea,Man City
l,l,l,l,Crystal Palace,Everton
l,l,l,l,Hull,Newcastle
l,l,l,l,Liverpool,West Ham
l,l,l,l,Man Utd,Leicester
l,l,l,l,Southampton,Swansea
l,l,l,l,Stoke,QPR
l,l,l,l,Sunderland,Burnley
l,l,l,l,West Brom,Spurs
l,l,l,l,Aston Villa,Chelsea
l,l,l,l,Burnley,West Brom
l,l,l,l,Everton,Liverpool
l,l,l,l,Leicester,Crystal Palace
l,l,l,l,Man City,Hull
l,l,l,l,Newcastle,Stoke
l,l,l,l,QPR,Southampton
l,l,l,l,Spurs,Arsenal
l,l,l,l,Swansea,Sunderland
l,l,l,l,West Ham,Man Utd
l,l,l,l,Arsenal,Leicester
l,l,l,l,Crystal Palace,Newcastle
l,l,l,l,Hull,Aston Villa
l,l,l,l,Liverpool,Spurs
l,l,l,l,Man Utd,Burnley
l,l,l,l,Southampton,West Ham
l,l,l,l,West Brom,Swansea
l,l,l,l,Chelsea,Everton
l,l,l,l,Stoke,Man City
l,l,l,l,Sunderland,QPR
l,l,l,l,Aston Villa,Stoke
l,l,l,l,Chelsea,Burnley
l,l,l,l,Crystal Palace,Arsenal
l,l,l,l,Everton,Leicester
l,l,l,l,Hull,QPR
l,l,l,l,Man City,Newcastle
l,l,l,l,Southampton,Liverpool
l,l,l,l,Spurs,West Ham
l,l,l,l,Sunderland,West Brom
l,l,l,l,Swansea,Man Utd
l,l,l,l,Arsenal,Everton
l,l,l,l,Burnley,Swansea
l,l,l,l,Leicester,Chelsea
l,l,l,l,Liverpool,Man City
l,l,l,l,Man Utd,Sunderland
l,l,l,l,Newcastle,Aston Villa
l,l,l,l,QPR,Spurs
l,l,l,l,Stoke,Hull
l,l,l,l,West Brom,Southampton
l,l,l,l,West Ham,Crystal Palace
l,l,l,l,Aston Villa,West Brom
l,l,l,l,Hull,Sunderland
l,l,l,l,Liverpool,Burnley
l,l,l,l,QPR,Arsenal
l,l,l,l,Southampton,Crystal Palace
l,l,l,l,West Ham,Chelsea
l,l,l,l,Man City,Leicester
l,l,l,l,Newcastle,Man Utd
l,l,l,l,Spurs,Swansea
l,l,l,l,Stoke,Everton
l,l,l,l,Arsenal,West Ham
l,l,l,l,Burnley,Man City
l,l,l,l,Chelsea,Southampton
l,l,l,l,Crystal Palace,QPR
l,l,l,l,Everton,Newcastle
l,l,l,l,Leicester,Hull
l,l,l,l,Man Utd,Spurs
l,l,l,l,Sunderland,Aston Villa
l,l,l,l,Swansea,Liverpool
l,l,l,l,West Brom,Stoke
l,l,l,l,Aston Villa,Swansea
l,l,l,l,Hull,Chelsea
l,l,l,l,Liverpool,Man Utd
l,l,l,l,Man City,West Brom
l,l,l,l,Newcastle,Arsenal
l,l,l,l,QPR,Everton
l,l,l,l,Southampton,Burnley
l,l,l,l,Spurs,Leicester
l,l,l,l,Stoke,Crystal Palace
l,l,l,l,West Ham,Sunderland
l,l,l,l,Arsenal,Liverpool
l,l,l,l,Burnley,Spurs
l,l,l,l,Chelsea,Stoke
l,l,l,l,Crystal Palace,Man City
l,l,l,l,Everton,Southampton
l,l,l,l,Leicester,West Ham
l,l,l,l,Man Utd,Aston Villa
l,l,l,l,Sunderland,Newcastle
l,l,l,l,Swansea,Hull
l,l,l,l,West Brom,QPR
l,l,l,l,Burnley,Arsenal
l,l,l,l,Liverpool,Newcastle
l,l,l,l,Man Utd,Man City
l,l,l,l,QPR,Chelsea
l,l,l,l,Southampton,Hull
l,l,l,l,Spurs,Aston Villa
l,l,l,l,Sunderland,Crystal Palace
l,l,l,l,Swansea,Everton
l,l,l,l,West Brom,Leicester
l,l,l,l,West Ham,Stoke
l,l,l,l,Arsenal,Sunderland
l,l,l,l,Aston Villa,QPR
l,l,l,l,Chelsea,Man Utd
l,l,l,l,Crystal Palace,West Brom
l,l,l,l,Everton,Burnley
l,l,l,l,Hull,Liverpool
l,l,l,l,Leicester,Swansea
l,l,l,l,Man City,West Ham
l,l,l,l,Newcastle,Spurs
l,l,l,l,Stoke,Southampton
l,l,l,l,Arsenal,Chelsea
l,l,l,l,Burnley,Leicester
l,l,l,l,Crystal Palace,Hull
l,l,l,l,Everton,Man Utd
l,l,l,l,Man City,Aston Villa
l,l,l,l,Newcastle,Swansea
l,l,l,l,QPR,West Ham
l,l,l,l,Southampton,Spurs
l,l,l,l,Stoke,Sunderland
l,l,l,l,West Brom,Liverpool
l,l,l,l,Aston Villa,Everton
l,l,l,l,Chelsea,Crystal Palace
l,l,l,l,Hull,Arsenal
l,l,l,l,Leicester,Newcastle
l,l,l,l,Liverpool,QPR
l,l,l,l,Man Utd,West Brom
l,l,l,l,Spurs,Man City
l,l,l,l,Sunderland,Southampton
l,l,l,l,Swansea,Stoke
l,l,l,l,West Ham,Burnley
l,l,l,l,Arsenal,Swansea
l,l,l,l,Aston Villa,West Ham
l,l,l,l,Chelsea,Liverpool
l,l,l,l,Crystal Palace,Man Utd
l,l,l,l,Everton,Sunderland
l,l,l,l,Hull,Burnley
l,l,l,l,Leicester,Southampton
l,l,l,l,Man City,QPR
l,l,l,l,Newcastle,West Brom
l,l,l,l,Stoke,Spurs
l,l,l,l,Burnley,Stoke
l,l,l,l,Liverpool,Crystal Palace
l,l,l,l,Man Utd,Arsenal
l,l,l,l,QPR,Newcastle
l,l,l,l,Southampton,Aston Villa
l,l,l,l,Spurs,Hull
l,l,l,l,Sunderland,Leicester
l,l,l,l,Swansea,Man City
l,l,l,l,West Brom,Chelsea
l,l,l,l,West Ham,Everton
l,l,l,l,Arsenal,West Brom
l,l,l,l,Aston Villa,Burnley
l,l,l,l,Chelsea,Sunderland
l,l,l,l,Crystal Palace,Swansea
l,l,l,l,Everton,Spurs
l,l,l,l,Hull,Man Utd
l,l,l,l,Leicester,QPR
l,l,l,l,Man City,Southampton
l,l,l,l,Newcastle,West Ham
l,l,l,l,Stoke,Liverpool
